Nama_Kota,Curah_Hujan_(mm),Produksi_Padi_2021,Produksi_Padi_2022,Produksi_Padi_2023
Kabupaten Gresik,4.01,"379666,19","411242,2","417428,58"
Kabupaten Jember,3.57,"615697,87","607371,19","616725,77"
Kabupaten Jombang,1.65,"326826,64","337172,14","346873,45"
Kabupaten Kediri,2.88,"198222,01","168853,55","183533,76"
Kabupaten Kediri,2.88,"9534,86","10197,5","8271,57"
Kabupaten Lamongan,4.01,"792662,09","903882,29","798704,85"
Kabupaten Lumajang,3.68,"295075,52","300829,01","308646,08"
Kabupaten Madiun,1.08,"461798,12","401573,69","437593,08"
Kabupaten Madiun,1.08,"13505,81","11453,92","12169,62"
Kabupaten Magetan,1.08,"307279,68","266699,89","280592,09"
Kabupaten Malang,2.75,"273358,61","271606,78","279365,91"
Kabupaten Malang,2.75,"11311,4","10771,15","10318,57"
Kabupaten Mojokerto,1.64,"297042,32","281829,41","302890,75"
Kabupaten Mojokerto,1.64,"4414,93","5032,96","3292,78"
Kabupaten Nganjuk,3.17,"429311,01","376476,43","418096,11"
Kabupaten Ngawi,1.08,"786475,65","755938,95","771251,37"
Kabupaten Pacitan,3.78,"88116,57","90428,21","92992,64"
Kabupaten Pamekasan,1.66,"96723,97","107648,71","108483,14"
Kabupaten Pasuruan,0.27,"264950,78","247255,72","260061,94"
Kabupaten Pasuruan,0.27,"8304,59","7293,69","8020,03"
Kabupaten Ponorogo,0.32,"404665,04","359413,77","392994,08"
Kabupaten Probolinggo,1.0,"190180,14","185412,51","201044,34"
Kabupaten Probolinggo,1.0,"8924,08","8103,92","7502,06"
Kabupaten Sampang,0.72,"195600,69","172494,38","167191,35"
Kabupaten Sidoarjo,1.9,"202501,4","194540,45","195855,35"
Kabupaten Situbondo,0.77,"151157,12",141628,"157273,25"
Kabupaten Sumenep,4.96,"221979,41","230581,31","217810,48"
Kabupaten Trenggalek,1.9,"116456,34","115758,01","114874,53"
Kabupaten Tuban,4.01,"489418,62","498938,59","501741,12"
Kabupaten Tulungagung,1.9,"237916,96","207217,26","235502,11"
Kota Batu,0.73,"5750,19","6762,57","4862,81"
Kota Blitar,4.27,"247366,27","215482,79","240224,41"
Kota Blitar,4.27,"5793,3","5212,13","5636,68"
Kota Kediri,2.88,"198222,01","168853,55","183533,76"
Kota Kediri,2.88,"9534,86","10197,5","8271,57"
Kota Madiun,1.08,"461798,12","401573,69","437593,08"
Kota Madiun,1.08,"13505,81","11453,92","12169,62"
Kota Malang,0.18,"273358,61","271606,78","279365,91"
Kota Malang,0.18,"11311,4","10771,15","10318,57"
Kota Mojokerto,1.64,"297042,32","281829,41","302890,75"
Kota Mojokerto,1.64,"4414,93","5032,96","3292,78"
Kota Pasuruan,0.27,"264950,78","247255,72","260061,94"
Kota Pasuruan,0.27,"8304,59","7293,69","8020,03"
Kota Probolinggo,1.0,"190180,14","185412,51","201044,34"
Kota Probolinggo,1.0,"8924,08","8103,92","7502,06"
Kota Surabaya,1.9,"9832,67","8117,31","8068,88"
Kabupaten Bangkalan,8.09,"195323,29","198122,71","186257,96"
Kabupaten Banyuwangi,0.77,"513490,07","462205,98","454768,46"
Kabupaten Blitar,7.05,"247366,27","215482,79","240224,41"
Kabupaten Blitar,7.05,"5793,3","5212,13","5636,68"
Kabupaten Bojonegoro,2.94,674002,"704288,94","705962,63"
Kabupaten Bondowoso,3.46,"258951,46","238677,65","247778,74"
Kabupaten Gresik,6.17,"379666,19","411242,2","417428,58"
Kabupaten Jember,5.36,"615697,87","607371,19","616725,77"
Kabupaten Jombang,0.89,"326826,64","337172,14","346873,45"
Kabupaten Kediri,0.66,"198222,01","168853,55","183533,76"
Kabupaten Kediri,0.66,"9534,86","10197,5","8271,57"
Kabupaten Lamongan,6.17,"792662,09","903882,29","798704,85"
Kabupaten Lumajang,3.39,"295075,52","300829,01","308646,08"
Kabupaten Madiun,0.85,"461798,12","401573,69","437593,08"
Kabupaten Madiun,0.85,"13505,81","11453,92","12169,62"
Kabupaten Magetan,0.85,"307279,68","266699,89","280592,09"
Kabupaten Malang,4.89,"273358,61","271606,78","279365,91"
Kabupaten Malang,4.89,"11311,4","10771,15","10318,57"
Kabupaten Mojokerto,2.1,"297042,32","281829,41","302890,75"
Kabupaten Mojokerto,2.1,"4414,93","5032,96","3292,78"
Kabupaten Nganjuk,0.6,"429311,01","376476,43","418096,11"
Kabupaten Ngawi,0.85,"786475,65","755938,95","771251,37"
Kabupaten Pacitan,15.4,"88116,57","90428,21","92992,64"
Kabupaten Pamekasan,6.65,"96723,97","107648,71","108483,14"
Kabupaten Pasuruan,3.13,"264950,78","247255,72","260061,94"
Kabupaten Pasuruan,3.13,"8304,59","7293,69","8020,03"
Kabupaten Ponorogo,0.2,"404665,04","359413,77","392994,08"
Kabupaten Probolinggo,4.72,"190180,14","185412,51","201044,34"
Kabupaten Probolinggo,4.72,"8924,08","8103,92","7502,06"
Kabupaten Sampang,6.98,"195600,69","172494,38","167191,35"
Kabupaten Sidoarjo,5.17,"202501,4","194540,45","195855,35"
Kabupaten Situbondo,4.08,"151157,12",141628,"157273,25"
Kabupaten Sumenep,8.06,"221979,41","230581,31","217810,48"
Kabupaten Trenggalek,2.1,"116456,34","115758,01","114874,53"
Kabupaten Tuban,2.94,"489418,62","498938,59","501741,12"
Kabupaten Tulungagung,2.1,"237916,96","207217,26","235502,11"
Kota Batu,3.39,"5750,19","6762,57","4862,81"
Kota Blitar,7.05,"247366,27","215482,79","240224,41"
Kota Blitar,7.05,"5793,3","5212,13","5636,68"
Kota Kediri,0.66,"198222,01","168853,55","183533,76"
Kota Kediri,0.66,"9534,86","10197,5","8271,57"
Kota Madiun,0.85,"461798,12","401573,69","437593,08"
Kota Madiun,0.85,"13505,81","11453,92","12169,62"
Kota Malang,3.5,"273358,61","271606,78","279365,91"
Kota Malang,3.5,"11311,4","10771,15","10318,57"
Kota Mojokerto,2.1,"297042,32","281829,41","302890,75"
Kota Mojokerto,2.1,"4414,93","5032,96","3292,78"
Kota Pasuruan,3.13,"264950,78","247255,72","260061,94"
Kota Pasuruan,3.13,"8304,59","7293,69","8020,03"
Kota Probolinggo,4.72,"190180,14","185412,51","201044,34"
Kota Probolinggo,4.72,"8924,08","8103,92","7502,06"
Kota Surabaya,5.17,"9832,67","8117,31","8068,88"
Kabupaten Bangkalan,1.07,"195323,29","198122,71","186257,96"
Kabupaten Banyuwangi,5.05,"513490,07","462205,98","454768,46"
Kabupaten Blitar,0.72,"247366,27","215482,79","240224,41"
Kabupaten Blitar,0.72,"5793,3","5212,13","5636,68"
Kabupaten Bojonegoro,1.56,674002,"704288,94","705962,63"
Kabupaten Bondowoso,17.77,"258951,46","238677,65","247778,74"
Kabupaten Gresik,0.83,"379666,19","411242,2","417428,58"
Kabupaten Jember,9.68,"615697,87","607371,19","616725,77"
Kabupaten Jombang,0.42,"326826,64","337172,14","346873,45"
Kabupaten Kediri,1.43,"198222,01","168853,55","183533,76"
Kabupaten Kediri,1.43,"9534,86","10197,5","8271,57"
Kabupaten Lamongan,0.83,"792662,09","903882,29","798704,85"
Kabupaten Lumajang,0.78,"295075,52","300829,01","308646,08"
Kabupaten Madiun,1.64,"461798,12","401573,69","437593,08"
Kabupaten Madiun,1.64,"13505,81","11453,92","12169,62"
Kabupaten Magetan,1.64,"307279,68","266699,89","280592,09"
Kabupaten Malang,0.22,"273358,61","271606,78","279365,91"
Kabupaten Malang,0.22,"11311,4","10771,15","10318,57"
Kabupaten Mojokerto,1.56,"297042,32","281829,41","302890,75"
Kabupaten Mojokerto,1.56,"4414,93","5032,96","3292,78"
Kabupaten Nganjuk,1.49,"429311,01","376476,43","418096,11"
Kabupaten Ngawi,1.64,"786475,65","755938,95","771251,37"
Kabupaten Pacitan,15.79,"88116,57","90428,21","92992,64"
Kabupaten Pamekasan,3.76,"96723,97","107648,71","108483,14"
Kabupaten Pasuruan,1.11,"264950,78","247255,72","260061,94"
Kabupaten Pasuruan,1.11,"8304,59","7293,69","8020,03"
Kabupaten Ponorogo,1.66,"404665,04","359413,77","392994,08"
Kabupaten Probolinggo,1.53,"190180,14","185412,51","201044,34"
Kabupaten Probolinggo,1.53,"8924,08","8103,92","7502,06"
Kabupaten Sampang,2.56,"195600,69","172494,38","167191,35"
Kabupaten Sidoarjo,1.12,"202501,4","194540,45","195855,35"
Kabupaten Situbondo,8.73,"151157,12",141628,"157273,25"
Kabupaten Sumenep,6.35,"221979,41","230581,31","217810,48"
Kabupaten Trenggalek,0.97,"116456,34","115758,01","114874,53"
Kabupaten Tuban,1.56,"489418,62","498938,59","501741,12"
Kabupaten Tulungagung,0.97,"237916,96","207217,26","235502,11"
Kota Batu,2.4,"5750,19","6762,57","4862,81"
Kota Blitar,0.72,"247366,27","215482,79","240224,41"
Kota Blitar,0.72,"5793,3","5212,13","5636,68"
Kota Kediri,1.43,"198222,01","168853,55","183533,76"
Kota Kediri,1.43,"9534,86","10197,5","8271,57"
Kota Madiun,1.64,"461798,12","401573,69","437593,08"
Kota Madiun,1.64,"13505,81","11453,92","12169,62"
Kota Malang,0.43,"273358,61","271606,78","279365,91"
Kota Malang,0.43,"11311,4","10771,15","10318,57"
Kota Mojokerto,1.56,"297042,32","281829,41","302890,75"
Kota Mojokerto,1.56,"4414,93","5032,96","3292,78"
Kota Pasuruan,1.11,"264950,78","247255,72","260061,94"
Kota Pasuruan,1.11,"8304,59","7293,69","8020,03"
Kota Probolinggo,1.53,"190180,14","185412,51","201044,34"
Kota Probolinggo,1.53,"8924,08","8103,92","7502,06"
Kota Surabaya,1.12,"9832,67","8117,31","8068,88"
Kabupaten Bangkalan,2.42,"195323,29","198122,71","186257,96"
Kabupaten Banyuwangi,2.99,"513490,07","462205,98","454768,46"
Kabupaten Blitar,3.53,"247366,27","215482,79","240224,41"
Kabupaten Blitar,3.53,"5793,3","5212,13","5636,68"
Kabupaten Bojonegoro,6.62,674002,"704288,94","705962,63"
Kabupaten Bondowoso,6.94,"258951,46","238677,65","247778,74"
Kabupaten Gresik,2.58,"379666,19","411242,2","417428,58"
Kabupaten Jember,5.69,"615697,87","607371,19","616725,77"
Kabupaten Jombang,3.95,"326826,64","337172,14","346873,45"
Kabupaten Kediri,4.47,"198222,01","168853,55","183533,76"
Kabupaten Kediri,4.47,"9534,86","10197,5","8271,57"
Kabupaten Lamongan,2.58,"792662,09","903882,29","798704,85"
Kabupaten Lumajang,4.75,"295075,52","300829,01","308646,08"
Kabupaten Madiun,7.71,"461798,12","401573,69","437593,08"
Kabupaten Madiun,7.71,"13505,81","11453,92","12169,62"
Kabupaten Magetan,7.71,"307279,68","266699,89","280592,09"
Kabupaten Malang,2.98,"273358,61","271606,78","279365,91"
Kabupaten Malang,2.98,"11311,4","10771,15","10318,57"
Kabupaten Mojokerto,3.24,"297042,32","281829,41","302890,75"
Kabupaten Mojokerto,3.24,"4414,93","5032,96","3292,78"
Kabupaten Nganjuk,5.31,"429311,01","376476,43","418096,11"
Kabupaten Ngawi,7.71,"786475,65","755938,95","771251,37"
Kabupaten Pacitan,5.24,"88116,57","90428,21","92992,64"
Kabupaten Pamekasan,13.58,"96723,97","107648,71","108483,14"
Kabupaten Pasuruan,3.66,"264950,78","247255,72","260061,94"
Kabupaten Pasuruan,3.66,"8304,59","7293,69","8020,03"
Kabupaten Ponorogo,2.99,"404665,04","359413,77","392994,08"
Kabupaten Probolinggo,7.55,"190180,14","185412,51","201044,34"
Kabupaten Probolinggo,7.55,"8924,08","8103,92","7502,06"
Kabupaten Sampang,11.32,"195600,69","172494,38","167191,35"
Kabupaten Sidoarjo,2.86,"202501,4","194540,45","195855,35"
Kabupaten Situbondo,4.42,"151157,12",141628,"157273,25"
Kabupaten Sumenep,10.86,"221979,41","230581,31","217810,48"
Kabupaten Trenggalek,2.67,"116456,34","115758,01","114874,53"
Kabupaten Tuban,6.62,"489418,62","498938,59","501741,12"
Kabupaten Tulungagung,2.67,"237916,96","207217,26","235502,11"
Kota Batu,4.33,"5750,19","6762,57","4862,81"
Kota Blitar,3.53,"247366,27","215482,79","240224,41"
Kota Blitar,3.53,"5793,3","5212,13","5636,68"
Kota Kediri,4.47,"198222,01","168853,55","183533,76"
Kota Kediri,4.47,"9534,86","10197,5","8271,57"
Kota Madiun,7.71,"461798,12","401573,69","437593,08"
Kota Madiun,7.71,"13505,81","11453,92","12169,62"
Kota Malang,3.56,"273358,61","271606,78","279365,91"
Kota Malang,3.56,"11311,4","10771,15","10318,57"
Kota Mojokerto,3.24,"297042,32","281829,41","302890,75"
Kota Mojokerto,3.24,"4414,93","5032,96","3292,78"
Kota Pasuruan,3.66,"264950,78","247255,72","260061,94"
Kota Pasuruan,3.66,"8304,59","7293,69","8020,03"
Kota Probolinggo,7.55,"190180,14","185412,51","201044,34"
Kota Probolinggo,7.55,"8924,08","8103,92","7502,06"
Kota Surabaya,2.86,"9832,67","8117,31","8068,88"
Kabupaten Bangkalan,8.57,"195323,29","198122,71","186257,96"
Kabupaten Banyuwangi,7.86,"513490,07","462205,98","454768,46"
Kabupaten Blitar,8.77,"247366,27","215482,79","240224,41"
Kabupaten Blitar,8.77,"5793,3","5212,13","5636,68"
Kabupaten Bojonegoro,3.84,674002,"704288,94","705962,63"
Kabupaten Bondowoso,7.79,"258951,46","238677,65","247778,74"
Kabupaten Gresik,6.88,"379666,19","411242,2","417428,58"
Kabupaten Jember,5.96,"615697,87","607371,19","616725,77"
Kabupaten Jombang,4.3,"326826,64","337172,14","346873,45"
Kabupaten Kediri,10.56,"198222,01","168853,55","183533,76"
Kabupaten Kediri,10.56,"9534,86","10197,5","8271,57"
Kabupaten Lamongan,6.88,"792662,09","903882,29","798704,85"
Kabupaten Lumajang,6.23,"295075,52","300829,01","308646,08"
Kabupaten Madiun,16.93,"461798,12","401573,69","437593,08"
Kabupaten Madiun,16.93,"13505,81","11453,92","12169,62"
Kabupaten Magetan,16.93,"307279,68","266699,89","280592,09"
Kabupaten Malang,6.01,"273358,61","271606,78","279365,91"
Kabupaten Malang,6.01,"11311,4","10771,15","10318,57"
Kabupaten Mojokerto,3.32,"297042,32","281829,41","302890,75"
Kabupaten Mojokerto,3.32,"4414,93","5032,96","3292,78"
Kabupaten Nganjuk,7.12,"429311,01","376476,43","418096,11"
Kabupaten Ngawi,16.93,"786475,65","755938,95","771251,37"
Kabupaten Pacitan,12.97,"88116,57","90428,21","92992,64"
Kabupaten Pamekasan,11.12,"96723,97","107648,71","108483,14"
Kabupaten Pasuruan,3.97,"264950,78","247255,72","260061,94"
Kabupaten Pasuruan,3.97,"8304,59","7293,69","8020,03"
Kabupaten Ponorogo,15.82,"404665,04","359413,77","392994,08"
Kabupaten Probolinggo,12.57,"190180,14","185412,51","201044,34"
Kabupaten Probolinggo,12.57,"8924,08","8103,92","7502,06"
Kabupaten Sampang,8.86,"195600,69","172494,38","167191,35"
Kabupaten Sidoarjo,2.39,"202501,4","194540,45","195855,35"
Kabupaten Situbondo,7.86,"151157,12",141628,"157273,25"
Kabupaten Sumenep,10.48,"221979,41","230581,31","217810,48"
Kabupaten Trenggalek,12.53,"116456,34","115758,01","114874,53"
Kabupaten Tuban,3.84,"489418,62","498938,59","501741,12"
Kabupaten Tulungagung,12.53,"237916,96","207217,26","235502,11"
Kota Batu,4.76,"5750,19","6762,57","4862,81"
Kota Blitar,8.77,"247366,27","215482,79","240224,41"
Kota Blitar,8.77,"5793,3","5212,13","5636,68"
Kota Kediri,10.56,"198222,01","168853,55","183533,76"
Kota Kediri,10.56,"9534,86","10197,5","8271,57"
Kota Madiun,16.93,"461798,12","401573,69","437593,08"
Kota Madiun,16.93,"13505,81","11453,92","12169,62"
Kota Malang,4.14,"273358,61","271606,78","279365,91"
Kota Malang,4.14,"11311,4","10771,15","10318,57"
Kota Mojokerto,3.32,"297042,32","281829,41","302890,75"
Kota Mojokerto,3.32,"4414,93","5032,96","3292,78"
Kota Pasuruan,3.97,"264950,78","247255,72","260061,94"
Kota Pasuruan,3.97,"8304,59","7293,69","8020,03"
Kota Probolinggo,12.57,"190180,14","185412,51","201044,34"
Kota Probolinggo,12.57,"8924,08","8103,92","7502,06"
Kota Surabaya,2.39,"9832,67","8117,31","8068,88"
Kabupaten Bangkalan,2.13,"195323,29","198122,71","186257,96"
Kabupaten Banyuwangi,13.21,"513490,07","462205,98","454768,46"
Kabupaten Blitar,10.12,"247366,27","215482,79","240224,41"
Kabupaten Blitar,10.12,"5793,3","5212,13","5636,68"
Kabupaten Bojonegoro,2.06,674002,"704288,94","705962,63"
Kabupaten Bondowoso,12.64,"258951,46","238677,65","247778,74"
Kabupaten Gresik,3.48,"379666,19","411242,2","417428,58"
Kabupaten Jember,10.71,"615697,87","607371,19","616725,77"
Kabupaten Jombang,7.4,"326826,64","337172,14","346873,45"
Kabupaten Kediri,14.1,"198222,01","168853,55","183533,76"
Kabupaten Kediri,14.1,"9534,86","10197,5","8271,57"
Kabupaten Lamongan,3.48,"792662,09","903882,29","798704,85"
Kabupaten Lumajang,11.07,"295075,52","300829,01","308646,08"
Kabupaten Madiun,13.01,"461798,12","401573,69","437593,08"
Kabupaten Madiun,13.01,"13505,81","11453,92","12169,62"
Kabupaten Magetan,13.01,"307279,68","266699,89","280592,09"
Kabupaten Malang,9.01,"273358,61","271606,78","279365,91"
Kabupaten Malang,9.01,"11311,4","10771,15","10318,57"
Kabupaten Mojokerto,5.5,"297042,32","281829,41","302890,75"
Kabupaten Mojokerto,5.5,"4414,93","5032,96","3292,78"
Kabupaten Nganjuk,9.15,"429311,01","376476,43","418096,11"
Kabupaten Ngawi,13.01,"786475,65","755938,95","771251,37"
Kabupaten Pacitan,14.19,"88116,57","90428,21","92992,64"
Kabupaten Pamekasan,7.61,"96723,97","107648,71","108483,14"
Kabupaten Pasuruan,9.05,"264950,78","247255,72","260061,94"
Kabupaten Pasuruan,9.05,"8304,59","7293,69","8020,03"
Kabupaten Ponorogo,13.41,"404665,04","359413,77","392994,08"
Kabupaten Probolinggo,7.16,"190180,14","185412,51","201044,34"
Kabupaten Probolinggo,7.16,"8924,08","8103,92","7502,06"
Kabupaten Sampang,8.53,"195600,69","172494,38","167191,35"
Kabupaten Sidoarjo,4.76,"202501,4","194540,45","195855,35"
Kabupaten Situbondo,6.34,"151157,12",141628,"157273,25"
Kabupaten Sumenep,5.74,"221979,41","230581,31","217810,48"
Kabupaten Trenggalek,11.85,"116456,34","115758,01","114874,53"
Kabupaten Tuban,2.06,"489418,62","498938,59","501741,12"
Kabupaten Tulungagung,11.85,"237916,96","207217,26","235502,11"
Kota Batu,11.44,"5750,19","6762,57","4862,81"
Kota Blitar,10.12,"247366,27","215482,79","240224,41"
Kota Blitar,10.12,"5793,3","5212,13","5636,68"
Kota Kediri,14.1,"198222,01","168853,55","183533,76"
Kota Kediri,14.1,"9534,86","10197,5","8271,57"
Kota Madiun,13.01,"461798,12","401573,69","437593,08"
Kota Madiun,13.01,"13505,81","11453,92","12169,62"
Kota Malang,9.52,"273358,61","271606,78","279365,91"
Kota Malang,9.52,"11311,4","10771,15","10318,57"
Kota Mojokerto,5.5,"297042,32","281829,41","302890,75"
Kota Mojokerto,5.5,"4414,93","5032,96","3292,78"
Kota Pasuruan,9.05,"264950,78","247255,72","260061,94"
Kota Pasuruan,9.05,"8304,59","7293,69","8020,03"
Kota Probolinggo,7.16,"190180,14","185412,51","201044,34"
Kota Probolinggo,7.16,"8924,08","8103,92","7502,06"
Kota Surabaya,4.76,"9832,67","8117,31","8068,88"
Kabupaten Bangkalan,20.04,"195323,29","198122,71","186257,96"
Kabupaten Banyuwangi,37.34,"513490,07","462205,98","454768,46"
Kabupaten Blitar,11.72,"247366,27","215482,79","240224,41"
Kabupaten Blitar,11.72,"5793,3","5212,13","5636,68"
Kabupaten Bojonegoro,18.3,674002,"704288,94","705962,63"
Kabupaten Bondowoso,25.28,"258951,46","238677,65","247778,74"
Kabupaten Gresik,31.31,"379666,19","411242,2","417428,58"
Kabupaten Jember,19.91,"615697,87","607371,19","616725,77"
Kabupaten Jombang,42.79,"326826,64","337172,14","346873,45"
Kabupaten Kediri,37.71,"198222,01","168853,55","183533,76"
Kabupaten Kediri,37.71,"9534,86","10197,5","8271,57"
Kabupaten Lamongan,31.31,"792662,09","903882,29","798704,85"
Kabupaten Lumajang,22.83,"295075,52","300829,01","308646,08"
Kabupaten Madiun,20.32,"461798,12","401573,69","437593,08"
Kabupaten Madiun,20.32,"13505,81","11453,92","12169,62"
Kabupaten Magetan,20.32,"307279,68","266699,89","280592,09"
Kabupaten Malang,10.09,"273358,61","271606,78","279365,91"
Kabupaten Malang,10.09,"11311,4","10771,15","10318,57"
Kabupaten Mojokerto,45.72,"297042,32","281829,41","302890,75"
Kabupaten Mojokerto,45.72,"4414,93","5032,96","3292,78"
Kabupaten Nganjuk,31.02,"429311,01","376476,43","418096,11"
Kabupaten Ngawi,20.32,"786475,65","755938,95","771251,37"
Kabupaten Pacitan,21.07,"88116,57","90428,21","92992,64"
Kabupaten Pamekasan,59.39,"96723,97","107648,71","108483,14"
Kabupaten Pasuruan,58.76,"264950,78","247255,72","260061,94"
Kabupaten Pasuruan,58.76,"8304,59","7293,69","8020,03"
Kabupaten Ponorogo,22.31,"404665,04","359413,77","392994,08"
Kabupaten Probolinggo,58.61,"190180,14","185412,51","201044,34"
Kabupaten Probolinggo,58.61,"8924,08","8103,92","7502,06"
Kabupaten Sampang,49.25,"195600,69","172494,38","167191,35"
Kabupaten Sidoarjo,58.41,"202501,4","194540,45","195855,35"
Kabupaten Situbondo,18.27,"151157,12",141628,"157273,25"
Kabupaten Sumenep,11.37,"221979,41","230581,31","217810,48"
Kabupaten Trenggalek,18.77,"116456,34","115758,01","114874,53"
Kabupaten Tuban,18.3,"489418,62","498938,59","501741,12"
Kabupaten Tulungagung,18.77,"237916,96","207217,26","235502,11"
Kota Batu,23.65,"5750,19","6762,57","4862,81"
Kota Blitar,11.72,"247366,27","215482,79","240224,41"
Kota Blitar,11.72,"5793,3","5212,13","5636,68"
Kota Kediri,37.71,"198222,01","168853,55","183533,76"
Kota Kediri,37.71,"9534,86","10197,5","8271,57"
Kota Madiun,20.32,"461798,12","401573,69","437593,08"
Kota Madiun,20.32,"13505,81","11453,92","12169,62"
Kota Malang,15.15,"273358,61","271606,78","279365,91"
Kota Malang,15.15,"11311,4","10771,15","10318,57"
Kota Mojokerto,45.72,"297042,32","281829,41","302890,75"
Kota Mojokerto,45.72,"4414,93","5032,96","3292,78"
Kota Pasuruan,58.76,"264950,78","247255,72","260061,94"
Kota Pasuruan,58.76,"8304,59","7293,69","8020,03"
Kota Probolinggo,58.61,"190180,14","185412,51","201044,34"
Kota Probolinggo,58.61,"8924,08","8103,92","7502,06"
Kota Surabaya,58.41,"9832,67","8117,31","8068,88"
Kabupaten Bangkalan,3.69,"195323,29","198122,71","186257,96"
Kabupaten Banyuwangi,2.09,"513490,07","462205,98","454768,46"
Kabupaten Blitar,6.17,"247366,27","215482,79","240224,41"
Kabupaten Blitar,6.17,"5793,3","5212,13","5636,68"
Kabupaten Bojonegoro,1.01,674002,"704288,94","705962,63"
Kabupaten Bondowoso,3.38,"258951,46","238677,65","247778,74"
Kabupaten Gresik,3.42,"379666,19","411242,2","417428,58"
Kabupaten Jember,1.7,"615697,87","607371,19","616725,77"
Kabupaten Jombang,2.35,"326826,64","337172,14","346873,45"
Kabupaten Kediri,8.43,"198222,01","168853,55","183533,76"
Kabupaten Kediri,8.43,"9534,86","10197,5","8271,57"
Kabupaten Lamongan,3.42,"792662,09","903882,29","798704,85"
Kabupaten Lumajang,1.73,"295075,52","300829,01","308646,08"
Kabupaten Madiun,4.21,"461798,12","401573,69","437593,08"
Kabupaten Madiun,4.21,"13505,81","11453,92","12169,62"
Kabupaten Magetan,4.21,"307279,68","266699,89","280592,09"
Kabupaten Malang,11.58,"273358,61","271606,78","279365,91"
Kabupaten Malang,11.58,"11311,4","10771,15","10318,57"
Kabupaten Mojokerto,1.44,"297042,32","281829,41","302890,75"
Kabupaten Mojokerto,1.44,"4414,93","5032,96","3292,78"
Kabupaten Nganjuk,5.53,"429311,01","376476,43","418096,11"
Kabupaten Ngawi,4.21,"786475,65","755938,95","771251,37"
Kabupaten Pacitan,11.96,"88116,57","90428,21","92992,64"
Kabupaten Pamekasan,0.33,"96723,97","107648,71","108483,14"
Kabupaten Pasuruan,1.12,"264950,78","247255,72","260061,94"
Kabupaten Pasuruan,1.12,"8304,59","7293,69","8020,03"
Kabupaten Ponorogo,5.18,"404665,04","359413,77","392994,08"
Kabupaten Probolinggo,0.67,"190180,14","185412,51","201044,34"
Kabupaten Probolinggo,0.67,"8924,08","8103,92","7502,06"
Kabupaten Sampang,0.2,"195600,69","172494,38","167191,35"
Kabupaten Sidoarjo,1.07,"202501,4","194540,45","195855,35"
Kabupaten Situbondo,2.48,"151157,12",141628,"157273,25"
Kabupaten Sumenep,6.88,"221979,41","230581,31","217810,48"
Kabupaten Trenggalek,3.54,"116456,34","115758,01","114874,53"
Kabupaten Tuban,1.01,"489418,62","498938,59","501741,12"
Kabupaten Tulungagung,3.54,"237916,96","207217,26","235502,11"
Kota Batu,8.28,"5750,19","6762,57","4862,81"
Kota Blitar,6.17,"247366,27","215482,79","240224,41"
Kota Blitar,6.17,"5793,3","5212,13","5636,68"
Kota Kediri,8.43,"198222,01","168853,55","183533,76"
Kota Kediri,8.43,"9534,86","10197,5","8271,57"
Kota Madiun,4.21,"461798,12","401573,69","437593,08"
Kota Madiun,4.21,"13505,81","11453,92","12169,62"
Kota Malang,7.23,"273358,61","271606,78","279365,91"
Kota Malang,7.23,"11311,4","10771,15","10318,57"
Kota Mojokerto,1.44,"297042,32","281829,41","302890,75"
Kota Mojokerto,1.44,"4414,93","5032,96","3292,78"
Kota Pasuruan,1.12,"264950,78","247255,72","260061,94"
Kota Pasuruan,1.12,"8304,59","7293,69","8020,03"
Kota Probolinggo,0.67,"190180,14","185412,51","201044,34"
Kota Probolinggo,0.67,"8924,08","8103,92","7502,06"
Kota Surabaya,1.07,"9832,67","8117,31","8068,88"
Kabupaten Bangkalan,5.09,"195323,29","198122,71","186257,96"
Kabupaten Banyuwangi,10.12,"513490,07","462205,98","454768,46"
Kabupaten Blitar,1.84,"247366,27","215482,79","240224,41"
Kabupaten Blitar,1.84,"5793,3","5212,13","5636,68"
Kabupaten Bojonegoro,5.25,674002,"704288,94","705962,63"
Kabupaten Bondowoso,6.01,"258951,46","238677,65","247778,74"
Kabupaten Gresik,5.42,"379666,19","411242,2","417428,58"
Kabupaten Jember,6.49,"615697,87","607371,19","616725,77"
Kabupaten Jombang,3.98,"326826,64","337172,14","346873,45"
Kabupaten Kediri,6.86,"198222,01","168853,55","183533,76"
Kabupaten Kediri,6.86,"9534,86","10197,5","8271,57"
Kabupaten Lamongan,5.42,"792662,09","903882,29","798704,85"
Kabupaten Lumajang,6.78,"295075,52","300829,01","308646,08"
Kabupaten Madiun,6.67,"461798,12","401573,69","437593,08"
Kabupaten Madiun,6.67,"13505,81","11453,92","12169,62"
Kabupaten Magetan,6.67,"307279,68","266699,89","280592,09"
Kabupaten Malang,0.76,"273358,61","271606,78","279365,91"
Kabupaten Malang,0.76,"11311,4","10771,15","10318,57"
Kabupaten Mojokerto,4.25,"297042,32","281829,41","302890,75"
Kabupaten Mojokerto,4.25,"4414,93","5032,96","3292,78"
Kabupaten Nganjuk,5.84,"429311,01","376476,43","418096,11"
Kabupaten Ngawi,6.67,"786475,65","755938,95","771251,37"
Kabupaten Pacitan,6.46,"88116,57","90428,21","92992,64"
Kabupaten Pamekasan,12.32,"96723,97","107648,71","108483,14"
Kabupaten Pasuruan,4.93,"264950,78","247255,72","260061,94"
Kabupaten Pasuruan,4.93,"8304,59","7293,69","8020,03"
